property_type,area,bathrooms,bedrooms,parking_spots,neighborhood,rent,more_than_1_floor,furnished,barbecue_grill,kitchen,security,beach_distance,latitude,longitude
apartment,4.90527477843843,4,4,2,Boa Viagem,9.047821442478408,0,1,0,0,1,0.741607106773275,-8.117429,-34.9010333
apartment,5.598421958998375,4,4,4,Boa Viagem,9.546812608597396,0,1,0,0,1,0.03094776868688,-8.1364165,-34.9016825
apartment,4.543294782270004,3,3,2,Boa Viagem,8.003028666384733,0,1,1,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,4.77912349311153,2,3,2,Boa Viagem,7.937374696163295,0,0,1,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,4.634728988229636,3,3,2,Boa Viagem,8.131530710604252,0,0,0,0,0,0.3670259454054956,-8.1071775,-34.8913662
apartment,4.394449154672439,2,2,1,Pina,7.824046010856292,0,1,0,0,1,0.9871099227246228,-8.0868628,-34.8897746
apartment,4.477336814478207,3,3,2,Madalena,7.90100705199242,0,0,0,0,1,4.680627819661518,-8.0508853,-34.9082074
apartment,5.135798437050262,6,4,3,Imbiribeira,9.104979856318357,0,0,0,0,0,1.511031147362302,-8.10821805,-34.90360317203264
apartment,4.605170185988092,3,4,1,Boa Viagem,8.768729817231666,0,1,0,0,1,0.4668463644206021,-8.1373649,-34.9062272
apartment,3.912023005428146,2,2,1,Boa Viagem,7.783224016336037,0,0,1,0,1,1.0884510208006493,-8.1242291,-34.9071189
apartment,3.4657359027997265,1,1,1,Paissandu,7.4673710669175595,0,1,0,0,1,3.25811236839663,-8.0610083,-34.8990999
apartment,4.30406509320417,1,2,1,Boa Viagem,7.438383530044307,0,0,0,0,0,1.1344165602190488,-8.1398987,-34.9138228
apartment,4.912654885736052,3,3,2,Boa Viagem,8.442469645220301,0,0,0,0,0,0.2436061483728414,-8.1438144,-34.9067542
apartment,4.941642422609304,6,4,2,Boa Viagem,8.483636407887394,0,0,1,0,1,0.5425408298715771,-8.1105394,-34.8946475
apartment,4.605170185988092,3,4,1,Boa Viagem,8.768729817231666,0,1,0,0,1,0.4668463644206021,-8.1373649,-34.9062272
apartment,3.4011973816621555,1,1,1,Boa Viagem,7.438383530044307,0,1,1,0,1,0.466782960488398,-8.1185096,-34.8987871
apartment,3.5553480614894135,1,1,1,Boa Viagem,7.090076835776092,0,0,0,0,0,0.1507194593625241,-8.1158107,-34.8938137
apartment,3.332204510175204,1,1,1,Boa Viagem,7.495541943884256,0,1,0,0,1,0.3795777353639336,-8.1389837,-34.9058445
apartment,5.181783550292085,2,4,0,Espinheiro,8.699514748210191,0,0,1,0,1,2.68915364112969,-8.0428691,-34.8912789
apartment,3.5553480614894135,1,1,1,Boa Viagem,7.438383530044307,0,0,0,0,0,0.230353752114623,-8.1203126,-34.8973464
apartment,4.454347296253507,3,3,1,Campo Grande,7.601402334583733,0,1,0,0,0,1.8663930094018624,-8.0309731,-34.8814456
apartment,4.290459441148391,2,2,1,Torre,7.346010209913293,0,0,1,0,0,4.713071497978603,-8.0424292,-34.9097309
apartment,3.5553480614894135,1,1,1,Boa Viagem,8.160518247477505,0,1,0,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,4.007333185232471,1,2,1,Ilha do Leite,7.560080465021827,0,1,0,0,0,2.3931407215199005,-8.065231449999999,-34.89236708850922
apartment,4.007333185232471,1,2,1,Boa Viagem,7.90100705199242,0,1,1,0,1,0.505957806442123,-8.1138653,-34.8964493
apartment,4.007333185232471,2,2,1,Boa Viagem,7.90100705199242,0,1,0,0,1,0.1276784350792172,-8.1158134,-34.8932917
apartment,3.6888794541139363,1,1,1,Boa Viagem,7.408530566894626,0,0,0,0,1,0.630532220694912,-8.133342,-34.9065158
apartment,5.135798437050262,3,3,1,Boa Viagem,8.294049640102028,1,0,0,0,0,0.03094776868688,-8.1364165,-34.9016825
apartment,4.30406509320417,1,3,1,Casa Forte,7.824046010856292,0,0,0,0,0,5.691941074711678,-8.0337811,-34.9183073
apartment,4.499809670330265,3,3,2,Boa Viagem,8.699514748210191,0,1,0,0,1,1.0310089481450584,-8.1166184,-34.9035989
apartment,3.871201010907891,1,2,1,Madalena,7.696212639346407,0,1,0,0,1,4.468309796492349,-8.0488136,-34.906654
apartment,5.703782474656201,1,4,4,Boa Viagem,9.903487552536127,0,0,0,0,1,0.1194440822840356,-8.1040701,-34.8872976
apartment,3.8918202981106265,2,2,1,Boa Viagem,7.696212639346407,0,1,0,0,1,0.6971943824613034,-8.1106061,-34.8962566
apartment,4.31748811353631,2,2,1,Graças,7.8632667240095735,0,0,0,0,0,3.4668498273323216,-8.0444636,-34.898188
apartment,3.4965075614664802,1,1,1,Jaqueira,7.495541943884256,0,1,0,0,1,3.4721183639184043,-8.0425742,-34.898440550000004
apartment,4.23410650459726,1,3,1,Encruzilhada,7.600902459542082,0,0,1,1,1,2.11101670661016,-8.03583,-34.8857558
apartment,3.912023005428146,2,2,1,Pina,8.006367567650246,0,1,0,0,1,0.0329553595213586,-8.0973128,-34.8834512
apartment,4.248495242049359,2,2,0,Santo Amaro,7.170119543449628,0,0,0,0,0,1.9988166191181416,-8.05577225,-34.878297588132426
apartment,5.303304908059076,4,4,3,Pina,9.126958763037132,0,0,1,0,1,0.294465529143417,-8.092948,-34.8834319
apartment,4.465908118654584,2,2,0,Boa Viagem,7.7406644019172415,0,0,0,0,0,0.4305038994122344,-8.1207531,-34.8995492
apartment,3.2188758248682006,1,1,1,Soledade,7.313220387090301,0,1,0,0,0,2.875786349980784,-8.0585559,-34.8912278
apartment,4.31748811353631,1,3,1,Boa Viagem,7.783224016336037,0,0,1,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,4.356708826689592,3,3,1,Torre,7.6638772587034705,0,0,0,0,0,4.62799583801275,-8.0480938,-34.9082579
apartment,4.553876891600541,3,3,2,Boa Viagem,8.411832675758411,0,0,0,0,1,0.0938971282652827,-8.1199395,-34.8957061
apartment,4.174387269895637,2,3,1,Boa Vista,7.824046010856292,0,0,1,0,1,2.661010108885919,-8.0615336,-34.89196122829392
apartment,4.23410650459726,2,3,1,San Martin,7.478734825567875,0,0,0,0,1,5.457283774403198,-8.0703463,-34.9267904
apartment,4.454347296253507,3,3,1,Casa Forte,7.3777589082278725,0,0,1,0,0,5.581189101356884,-8.0320727,-34.9170589
apartment,3.4657359027997265,1,1,1,Soledade,7.600902459542082,0,1,0,0,1,2.944255121612553,-8.0556218,-34.8895781
apartment,4.007333185232471,2,2,1,Graças,7.9724660159745655,0,1,1,0,1,3.4668498273323216,-8.0444636,-34.898188
apartment,4.867534450455582,3,3,1,Graças,7.8632667240095735,0,0,0,0,0,3.711255443982079,-8.0497808,-34.8994382
apartment,4.941642422609304,2,2,2,Boa Viagem,8.517193191416238,0,0,1,0,1,0.0981732364470308,-8.1034421,-34.88699
apartment,5.872117789475416,5,4,4,Boa Viagem,9.179881164491475,0,0,0,0,1,0.0894259779913248,-8.1173024,-34.89377961229388
apartment,4.02535169073515,2,2,1,Caxangá,7.438383530044307,0,0,1,0,1,9.489674841117392,-8.0309406,-34.9526533
apartment,3.7612001156935624,1,2,1,Boa Viagem,7.600902459542082,0,1,1,0,1,0.4112622462654447,-8.1283154,-34.9021852
apartment,3.912023005428146,2,2,1,Espinheiro,7.542213463193403,0,0,0,0,1,2.851794014755245,-8.0426365,-34.8927867
apartment,5.442417710521793,6,4,4,Boa Viagem,9.612466578818832,0,0,0,0,1,0.181393856632784,-8.1107418,-34.8899321
apartment,5.5134287461649825,4,4,3,Pina,8.779557455883728,0,0,0,0,1,0.0329553595213586,-8.0973128,-34.8834512
apartment,4.127134385045092,1,2,1,Boa Viagem,7.600902459542082,0,0,0,0,1,0.4481109137273574,-8.1137773,-34.8955904
apartment,5.111987788356544,3,3,2,Boa Viagem,8.098642843759418,1,0,0,0,1,0.3245298643694608,-8.1182483,-34.8969711
