property_type,area,bathrooms,bedrooms,parking_spots,neighborhood,rent,more_than_1_floor,furnished,barbecue_grill,kitchen,pool,beach_distance,latitude,longitude
apartment,62,1,2,1,Boa Viagem,2000,0,0,0,0,1,0.4481109137273574,-8.1137773,-34.8955904
apartment,166,3,3,2,Boa Viagem,3290,1,0,0,0,1,0.3245298643694608,-8.1182483,-34.8969711
apartment,55,1,2,1,Boa Viagem,2700,0,1,0,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,288,4,3,4,Boa Viagem,17000,0,0,0,0,1,0.11944408228403565,-8.1040701,-34.8872976
apartment,53,1,2,1,Graças,2300,0,0,0,0,0,3.7664547149333054,-8.0394194,-34.9012035
apartment,65,2,2,1,Tamarineira,1650,0,1,0,1,0,3.8588708598829706,-8.0295267,-34.9004764
apartment,100,2,3,1,Boa Viagem,3449,0,1,0,0,0,0.7269148980153953,-8.1235027,-34.9033955
apartment,50,1,1,1,Boa Viagem,1000,0,0,0,0,0,0.7269148980153953,-8.1235027,-34.9033955
apartment,110,3,3,1,Torre,1399,0,0,0,0,0,4.46405658427687,-8.0425107,-34.9074638
apartment,62,2,2,1,Boa Viagem,2100,0,0,0,0,0,1.2644979036650392,-8.1266931,-34.9099144
apartment,41,1,1,1,Boa Viagem,2942,0,0,0,0,1,0.3245298643694608,-8.1182483,-34.8969711
apartment,106,3,3,2,Aflitos,4501,0,1,1,0,1,3.4628711536046994,-8.0389472,-34.8984369
apartment,125,3,3,1,Boa Viagem,2785,0,0,0,0,0,0.0938971282652827,-8.1199395,-34.8957061
apartment,94,3,3,2,Boa Viagem,3700,0,0,1,0,1,0.27217954007973744,-8.1169559,-34.8957441
apartment,150,5,4,2,Pina,7750,0,0,1,0,1,0.10856570572623832,-8.099475,-34.8852336
apartment,98,3,3,2,Boa Viagem,3729,0,0,1,0,1,0.7269148980153953,-8.1235027,-34.9033955
apartment,10,1,4,0,Pina,15000,0,0,0,0,1,0.08880462169436096,-8.09713945,-34.883959804956284
apartment,203,3,4,3,Ilha do Retiro,8500,0,0,1,0,1,3.066677805088075,-8.0667836,-34.9009774
apartment,100,1,2,1,Graças,1550,0,0,0,0,0,3.3727420738118266,-8.0508304,-34.8959636
apartment,81,3,3,2,Boa Viagem,4500,0,0,0,0,1,0.19621716521765944,-8.1161778,-34.894659
apartment,32,1,1,1,Paissandu,3500,0,1,0,0,1,3.25811236839663,-8.0610083,-34.8990999
apartment,198,5,4,3,Ilha do Retiro,4900,0,1,0,0,1,3.066677805088075,-8.0667836,-34.9009774
apartment,80,2,3,1,Várzea,1700,0,0,0,0,0,8.496000639563446,-8.0418579,-34.9440907
apartment,115,3,3,2,Boa Viagem,3370,0,0,1,0,1,0.5666294950631254,-8.1223405,-34.9014857
apartment,200,4,4,3,Boa Viagem,4500,0,0,0,0,0,0.11866668019450934,-8.108476,-34.8895188
apartment,65,2,3,0,São José,1200,0,0,0,0,0,1.137771827201853,-8.0719858,-34.88295465279285
apartment,57,1,2,1,Iputinga,1292,0,0,1,0,1,7.277778996984733,-8.0404255,-34.9330606
apartment,38,1,1,1,Boa Viagem,1800,0,0,0,0,0,0.43443356755029666,-8.1097853,-34.8925737
